DateKey,OrderDate,Year,Month,MonthName,Day,DayName,year_id
1,2008-01-01,2008,1,January,1,Tuesday,1
2,2008-01-03,2008,1,January,3,Thursday,1
3,2008-01-06,2008,1,January,6,Sunday,1
4,2008-01-07,2008,1,January,7,Monday,1
5,2008-01-08,2008,1,January,8,Tuesday,1
6,2008-01-09,2008,1,January,9,Wednesday,1
7,2008-01-11,2008,1,January,11,Friday,1
8,2008-01-12,2008,1,January,12,Saturday,1
9,2008-01-14,2008,1,January,14,Monday,1
10,2008-01-15,2008,1,January,15,Tuesday,1
11,2008-01-17,2008,1,January,17,Thursday,1
12,2008-01-20,2008,1,January,20,Sunday,1
13,2008-01-22,2008,1,January,22,Tuesday,1
14,2008-01-23,2008,1,January,23,Wednesday,1
15,2008-01-26,2008,1,January,26,Saturday,1
16,2008-01-27,2008,1,January,27,Sunday,1
17,2008-01-29,2008,1,January,29,Tuesday,1
18,2008-02-02,2008,2,February,2,Saturday,1
19,2008-02-03,2008,2,February,3,Sunday,1
20,2008-02-04,2008,2,February,4,Monday,1
21,2008-02-05,2008,2,February,5,Tuesday,1
22,2008-02-06,2008,2,February,6,Wednesday,1
23,2008-02-07,2008,2,February,7,Thursday,1
24,2008-02-08,2008,2,February,8,Friday,1
25,2008-02-09,2008,2,February,9,Saturday,1
26,2008-02-11,2008,2,February,11,Monday,1
27,2008-02-14,2008,2,February,14,Thursday,1
28,2008-02-15,2008,2,February,15,Friday,1
29,2008-02-16,2008,2,February,16,Saturday,1
30,2008-02-17,2008,2,February,17,Sunday,1
31,2008-02-18,2008,2,February,18,Monday,1
32,2008-02-19,2008,2,February,19,Tuesday,1
33,2008-02-20,2008,2,February,20,Wednesday,1
34,2008-02-21,2008,2,February,21,Thursday,1
35,2008-02-24,2008,2,February,24,Sunday,1
36,2008-02-25,2008,2,February,25,Monday,1
37,2008-02-26,2008,2,February,26,Tuesday,1
38,2008-02-28,2008,2,February,28,Thursday,1
39,2008-02-29,2008,2,February,29,Friday,1
40,2008-03-01,2008,3,March,1,Saturday,1
41,2008-03-03,2008,3,March,3,Monday,1
42,2008-03-04,2008,3,March,4,Tuesday,1
43,2008-03-05,2008,3,March,5,Wednesday,1
44,2008-03-06,2008,3,March,6,Thursday,1
45,2008-03-09,2008,3,March,9,Sunday,1
46,2008-03-11,2008,3,March,11,Tuesday,1
47,2008-03-12,2008,3,March,12,Wednesday,1
48,2008-03-13,2008,3,March,13,Thursday,1
49,2008-03-14,2008,3,March,14,Friday,1
50,2008-03-15,2008,3,March,15,Saturday,1
51,2008-03-17,2008,3,March,17,Monday,1
52,2008-03-18,2008,3,March,18,Tuesday,1
53,2008-03-20,2008,3,March,20,Thursday,1
54,2008-03-23,2008,3,March,23,Sunday,1
55,2008-03-24,2008,3,March,24,Monday,1
56,2008-03-25,2008,3,March,25,Tuesday,1
57,2008-03-26,2008,3,March,26,Wednesday,1
58,2008-03-29,2008,3,March,29,Saturday,1
59,2008-03-31,2008,3,March,31,Monday,1
60,2008-11-04,2008,11,November,4,Tuesday,1
61,2008-04-03,2008,4,April,3,Thursday,1
62,2008-04-04,2008,4,April,4,Friday,1
63,2008-04-05,2008,4,April,5,Saturday,1
64,2008-04-06,2008,4,April,6,Sunday,1
65,2008-08-21,2008,8,August,21,Thursday,1
66,2008-04-07,2008,4,April,7,Monday,1
67,2008-04-08,2008,4,April,8,Tuesday,1
68,2008-04-09,2008,4,April,9,Wednesday,1
69,2008-04-10,2008,4,April,10,Thursday,1
70,2008-04-11,2008,4,April,11,Friday,1
71,2008-04-12,2008,4,April,12,Saturday,1
72,2008-04-16,2008,4,April,16,Wednesday,1
73,2008-04-17,2008,4,April,17,Thursday,1
74,2008-04-19,2008,4,April,19,Saturday,1
